stim,reward,thr,iti
9,45,0.304916117351472,2
9,45,0.693391730947875,2
3,20,0.304916117351472,2
2,20,0.276590639549733,2
9,45,0.481914944881959,2
7,45,3.47063405726335,2
4,30,3.04759604290632,2
4,30,2.92772319171514,0.5
1,20,2.92772319171514,0.5
5,30,0.276590639549733,0.5
6,30,0.481914944881959,0.5
8,45,1.45974585775543,0.5
4,30,3.98943456216056,0.5
5,30,1.06330359316856,0.5
3,20,0.4443605822195,4
8,45,0.83977983726597,4
7,45,4.02657914921544,4
8,45,0.794130010976683,4
9,45,0.47377989473105,4
6,30,0.689937329460378,4
1,20,3.63115566095489,4
3,20,0.47377989473105,2
6,30,0.458083098973804,2
3,20,0.693391730947875,2
4,30,2.5912203208202,2
1,20,3.92577757785908,2
2,20,1.06330359316856,2
1,20,4.02657914921544,2
8,45,1.67788437605654,2
9,45,0.689937329460378,2
2,20,1.65101198437396,2
7,45,3.92577757785908,2
9,45,0.4443605822195,2
4,30,3.91769260809082,2
6,30,0.304916117351472,2
4,30,4.02657914921544,2
8,45,1.50343970779345,2
4,30,3.92577757785908,2
5,30,1.65101198437396,2
8,45,-0.254228855695493,2
2,20,1.45974585775543,2
9,45,0.458083098973804,2
9,45,0.525598792673319,2
2,20,0.794130010976683,2
5,30,1.67788437605654,2
4,30,3.39262873305585,2
7,45,2.5912203208202,2
2,20,0.83977983726597,2
5,30,-0.15632190558384,2
6,30,0.4443605822195,2
5,30,1.50343970779345,2
1,20,3.47063405726335,2
3,20,0.481914944881959,2
1,20,3.91769260809082,2
2,20,-0.254228855695493,2
8,45,1.06330359316856,2
3,20,0.689937329460378,2
7,45,3.91769260809082,2
2,20,-0.15632190558384,2
6,30,0.47377989473105,2
2,20,1.67788437605654,2
4,30,3.47063405726335,2
7,45,3.39262873305585,2
9,45,0.619329044948992,2
9,45,0.621083563813996,2
5,30,1.45974585775543,2
3,20,0.525598792673319,2
2,20,1.50343970779345,2
1,20,3.98943456216056,2
3,20,0.458083098973804,2
8,45,1.65101198437396,2
8,45,-0.15632190558384,2
7,45,3.63115566095489,2
6,30,0.621083563813996,2
6,30,0.619329044948992,2
6,30,0.525598792673319,2
1,20,2.5912203208202,2
7,45,3.04759604290632,2
1,20,3.04759604290632,2
5,30,-0.254228855695493,2
8,45,0.276590639549733,2
3,20,0.621083563813996,2
5,30,0.83977983726597,2
1,20,3.39262873305585,2
6,30,0.693391730947875,2
3,20,0.619329044948992,2
4,30,3.63115566095489,2
5,30,0.794130010976683,2
7,45,2.92772319171514,2
7,45,3.98943456216056,2
